,corcoef
AT2G37120.1,0.062778782
AT1G14270.2,0.052941709
AT2G42160.1,0.14601045
AT5G44410.1,0.064806199
AT4G20910.2,0.152261092
AT1G71950.1,0.275291945
AT5G41340.2,0.079716907
AT1G13090.1,0.056387481
AT3G05685.2,0.17246747
AT3G43684.1,0.055841563
AT2G04690.3,0.090888348
AT1G74650.2,0.177404103
AT1G40101.1,0.167499689
AT5G46915.1,0.115344808
AT4G29460.1,0.051500153
AT1G23935.1,0.118742289
ATMG09450.1,0.056056169
AT3G12502.1,0.050765513
AT3G07855.1,0.128009146
AT4G04780.1,0.439533056
AT1G48355.1,0.100121612
AT5G16110.1,0.335893092
AT1G10875.1,0.076408519
AT4G11910.1,0.077280466
AT4G06537.1,0.159428212
AT5G17890.1,0.214761435
AT5G33253.1,0.122974236
AT5G08340.1,0.087788092
AT5G01555.1,0.118545897
AT2G03320.1,0.117030667
AT2G23790.1,0.161294481
AT3G50330.1,0.149755072
AT5G41763.1,0.05986688
AT5G50443.1,0.142134214
AT3G06920.2,0.105542247
AT1G63660.1,0.136330732
AT4G27570.1,0.153638558
AT5G60820.1,0.141080591
AT4G31695.1,0.091607296
AT5G39490.1,0.102799278
AT4G30380.2,0.120682963
AT4G05205.1,0.050029375
AT3G08780.2,0.119659347
AT3G17140.1,0.163179184
AT2G37390.1,0.190402081
AT4G25310.1,0.101536739
AT5G24790.1,0.268105614
AT5G22820.1,0.27875189
AT3G31390.1,0.208668841
AT1G34640.1,0.115509703
AT1G50310.1,0.1995876
AT3G02640.1,0.234335015
AT2G08960.1,0.160589595
AT1G43180.1,0.216970014
AT4G05360.1,0.216864619
AT4G28365.1,0.295177679
AT3G44718.1,0.081981865
AT3G04355.1,0.21307125
AT3G48231.1,0.156889695
ATCG00590.1,0.054503271
AT3G01410.1,0.150362082
AT3G11150.1,0.278251262
AT3G03540.1,0.332017272
AT3G09940.1,0.212671972
AT5G46960.1,0.210852802
AT1G33300.1,0.247400617
AT4G33870.1,0.151234574
AT1G07433.1,0.203723247
AT5G36925.1,0.271435706
AT2G32910.1,0.119805781
AT5G50560.1,0.137247177
AT1G66960.2,0.19830399
AT2G24700.1,0.206716351
AT3G01880.1,0.194687971
AT1G04037.1,0.097332779
AT3G15530.1,0.058375229
AT3G10282.1,0.080003192
AT1G07407.1,0.183228338
AT3G13210.1,0.132636881
AT2G23130.2,0.098881308
AT3G62529.1,0.169412241
AT1G08465.1,0.369341761
AT4G07650.1,0.129895411
AT2G17350.1,0.06914715
AT5G08435.1,0.198627851
AT4G14430.1,0.159964434
AT1G50390.1,0.197327576
AT4G07120.1,0.260554663
AT3G21050.1,0.140982039
AT1G08133.1,0.157022126
AT3G43526.1,0.179406267
AT2G03915.1,0.222181651
AT3G01775.1,0.081837103
AT1G68907.1,0.169069527
AT2G36040.1,0.090862762
AT2G07195.1,0.203426159
AT4G06395.1,0.058815142
AT5G61850.2,0.050233795
AT2G24900.1,0.103711458
AT4G06180.2,0.106569898
AT1G61550.1,0.259516999
AT5G61880.3,0.128499413
AT5G48010.2,0.189029203
AT3G28785.1,0.264528215
AT2G06650.1,0.269833514
AT5G26865.1,0.107914405
AT2G28940.1,0.106264772
AT3G31314.1,0.192921037
AT5G16870.1,0.060171281
AT4G27290.2,0.224461833
AT4G14260.1,0.181741875
AT5G43010.1,0.136628082
AT1G58265.1,0.22906303
AT1G55964.1,0.166125481
AT5G60930.2,0.092936372
AT1G41893.1,0.133872332
AT4G30360.1,0.200408761
AT4G09200.1,0.233809299
AT2G41250.1,0.128321689
AT4G08740.1,0.173192899
AT2G05615.1,0.1022134
AT5G06100.4,0.257898672
AT2G45180.1,0.056366142
AT5G29624.1,0.055139842
AT5G11440.2,0.189759712
AT1G16520.1,0.121895821
AT1G51680.1,0.160654903
AT1G48710.1,0.053966399
AT1G55610.2,0.11477472
AT1G07400.1,0.15852148
AT1G57835.1,0.135359602
AT2G05110.1,0.329617489
AT5G24215.1,0.231309889
AT3G44267.1,0.063274591
AT2G46494.1,0.178782452
AT3G50301.1,0.172607161
AT5G34843.1,0.189326791
AT2G20060.1,0.080198198
AT5G62930.3,0.109258337
AT1G11050.1,0.371882971
AT5G27495.1,0.07756789
AT5G19960.1,0.101577862
AT2G28671.1,0.174517296
AT4G09105.1,0.065847221
AT5G09385.1,0.09859565
AT3G57220.1,0.071176509
AT4G01930.1,0.103998349
AT5G36907.1,0.088840054
AT4G27380.1,0.076023964
AT1G16630.1,0.201042718
AT3G60420.1,0.187250692
AT1G19100.1,0.083056361
AT1G20515.1,0.1715612
AT4G13400.2,0.097007461
AT2G43920.4,0.247299932
AT1G32010.1,0.26711141
AT5G10560.1,0.098821301
AT5G02855.1,0.115141631
AT4G38860.1,0.109693743
AT2G09435.1,0.075970939
AT1G09377.1,0.185224363
AT2G31690.1,0.078929948
AT3G22337.1,0.061490824
AT2G07681.1,0.097848111
AT3G04155.1,0.304393382
AT4G04295.1,0.187619186
AT3G21120.1,0.140811491
AT1G65480.2,0.105211071
AT3G27390.2,0.091191245
AT3G07510.1,0.167188684
ATMG00880.1,0.077219843
AT3G32172.1,0.103863798
AT1G55500.4,0.066675194
AT5G01235.1,0.087053106
AT4G04170.1,0.056086804
AT5G08785.1,0.363237907
AT4G19360.1,0.10011648
AT5G31087.1,0.17647968
AT1G05880.3,0.159455339
AT2G05950.1,0.05203331
AT2G38290.1,0.122593384
AT1G35240.1,0.123451383
AT1G23250.2,0.242388743
ATCG00220.1,0.111819353
AT2G12480.3,0.065718997
AT4G07862.1,0.058825002
AT5G08200.1,0.170012387
AT2G09990.1,0.101840883
AT1G05837.1,0.201277971
AT3G19430.2,0.053879334
